test	taille	exe	exectime	memory	mmm
161	2315	fus	0.00 1328			1
161	2315	rap	0.01 1424		1	
162	3510	fus	0.00 1344			
162	3510	ins	0.00 1308			
162	3510	rap	0.02 1428		1	
163	30393	ins	0.00 1520			1
163	30393	fus	0.00 1716	1		
163	30393	rap	1.91 3312		1	
164	2548	ins	0.00 1308			1
164	2548	fus	0.00 1348			1
164	2548	rap	0.01 1456		1	
165	17285	fus	0.00 1512			1
165	17285	ins	0.00 1420			1
165	17285	rap	0.61 2500		1	
166	2447	ins	0.00 1316			1
166	2447	fus	0.00 1396			1
166	2447	rap	0.01 1348		1	
167	11929	ins	0.00 1364			1
167	11929	fus	0.00 1368	1		
167	11929	rap	0.29 2012		1	
168	322	rap	0.00 1268			
168	322	fus	0.00 1312			
168	322	ins	0.00 1280			
169	21061	ins	0.00 1404	1		
169	21061	fus	0.00 1620	1		
169	21061	rap	0.91 2764		1	
170	1989	ins	0.00 1196			1
170	1989	fus	0.00 1316			1
170	1989	rap	0.00 1392		1	
171	19304	ins	0.00 1384			1
171	19304	fus	0.00 1616	1		
171	19304	rap	0.75 2592		1	
172	19545	fus	0.00 1668	1		
172	19545	ins	0.00 1412	1		
172	19545	rap	0.78 2648		1	
173	1149	ins	0.00 1240			1
173	1149	rap	0.00 1332		1	
173	1149	fus	0.00 1372		1	
174	27511	ins	0.00 1392	1		
174	27511	fus	0.00 1720	1		
174	27511	rap	1.55 3196		1	
175	1074	fus	0.00 1324			1
175	1074	rap	0.00 1360		1	
175	1074	ins	0.00 1188		1	
176	16399	ins	0.00 1312	1		
176	16399	fus	0.00 1532	1		
176	16399	rap	0.55 2436		1	
177	18174	fus	0.00 1576	1		
177	18174	ins	0.00 1268	1		
177	18174	rap	0.67 2504		1	
178	4999	ins	0.00 1224	1		
178	4999	fus	0.00 1332	1		
178	4999	rap	0.05 1548		1	
179	18575	ins	0.00 1384			1
179	18575	fus	0.00 1564	1		
179	18575	rap	0.71 2484		1	
180	31424	fus	0.00 1732	1		
180	31424	ins	0.00 1444			1
180	31424	rap	2.02 3480		1	
181	368	fus	0.00 1216		1	
181	368	rap	0.00 1280		1	
181	368	ins	0.00 1180		1	
182	887	fus	0.00 1328			1
182	887	ins	0.00 1264			1
182	887	rap	0.00 1344		1	
183	20777	ins	0.00 1436			1
183	20777	fus	0.00 1604	1		
183	20777	rap	0.88 2740		1	
184	30502	ins	0.00 1512			1
184	30502	fus	0.00 1760	1		
184	30502	rap	1.91 3272		1	
185	6481	fus	0.00 1384	1		
185	6481	ins	0.00 1244	1		
185	6481	rap	0.09 1708		1	
186	15362	fus	0.00 1520	1		
186	15362	ins	0.00 1376			1
186	15362	rap	0.48 2328		1	
187	713	fus	0.00 1328		1	
187	713	ins	0.00 1292		1	
187	713	rap	0.00 1340		1	
188	7149	ins	0.00 1312			1
188	7149	fus	0.00 1392	1		
188	7149	rap	0.11 1676		1	
189	9116	ins	0.00 1300	1		
189	9116	fus	0.00 1412	1		
189	9116	rap	0.17 1900		1	
