test	taille	exe	exectime	memory	mmm
335	813000	rap	0.27 7612		1
336	10000	fus	0.00 1388	1	
336	10000	rap	0.00 1256		1
337	763000	fus	0.17 13156	1	
337	763000	rap	0.25 7236		1
338	48000	rap	0.01 1552		1
338	48000	fus	0.01 1988	1	
339	435000	fus	0.10 8112	1	
339	435000	rap	0.12 4628		1
340	826000	fus	0.19 14172	1	
340	826000	rap	0.28 7740		1
341	684000	fus	0.16 11972	1	
341	684000	rap	0.22 6544		1
342	777000	fus	0.25 13400	1	
342	777000	rap	0.33 7256		1
343	699000	fus	0.16 12176	1	
343	699000	rap	0.22 6744		1
344	715000	fus	0.16 12352	1	
344	715000	rap	0.22 6776		1
345	948000	fus	0.21 16168	1	
345	948000	rap	0.34 8596		1
346	911000	fus	0.20 15592	1	
346	911000	rap	0.32 8356		1
347	447000	fus	0.10 8276	1	
347	447000	rap	0.12 4764		1
348	154000	rap	0.02 2400		1
348	154000	fus	0.03 3648	1	
349	509000	fus	0.12 9204	1	
349	509000	rap	0.14 5232		1
350	670000	fus	0.16 11728	1	
350	670000	rap	0.20 6504		1
351	110000	rap	0.02 2120		1
351	110000	fus	0.02 3072	1	
352	233000	rap	0.05 3108	1	
352	233000	fus	0.05 4952	1	
353	23000	rap	0.00 1412	1	
353	23000	fus	0.00 1640	1	
354	905000	fus	0.21 15428	1	
354	905000	rap	0.32 8260		1
355	248000	rap	0.05 3220	1	
355	248000	fus	0.05 5144	1	
356	343000	fus	0.08 6624	1	
356	343000	rap	0.08 3936		1
357	355000	fus	0.08 6824	1	
357	355000	rap	0.08 3976		1
358	573000	fus	0.13 10192	1	
358	573000	rap	0.16 5708		1
359	205000	rap	0.04 2836		1
359	205000	fus	0.04 4556	1	
360	563000	fus	0.13 10056	1	
360	563000	rap	0.17 5656		1
361	585000	fus	0.14 10452	1	
361	585000	rap	0.18 5776		1
362	931000	fus	0.22 15904	1	
362	931000	rap	0.33 8536		1
363	410000	fus	0.10 7584	1	
363	410000	rap	0.10 4324		1
364	757000	fus	0.17 13012	1	
364	757000	rap	0.24 7200		1
365	635000	fus	0.14 11176	1	
