test	taille	exe	exectime	memory	mmm
178	17967	fus	0.00 1576	1		
178	17967	ins	0.23 1432			1
179	16268	fus	0.00 1548	1		
179	16268	rap	0.00 1308	1		
179	16268	ins	0.19 1312			1
180	3557	fus	0.00 1412		1	
180	3557	rap	0.00 1280		1	
180	3557	ins	0.01 1224			1
181	14233	rap	0.00 1408		1	
181	14233	fus	0.00 1516		1	
181	14233	ins	0.15 1396			1
182	20945	fus	0.00 1648		1	
182	20945	rap	0.00 1360		1	
182	20945	ins	0.32 1392			1
183	7998	fus	0.00 1404	1		
183	7998	rap	0.00 1312		1	
183	7998	ins	0.05 1336			1
184	22756	rap	0.00 1452		1	
184	22756	fus	0.00 1544	1		
184	22756	ins	0.39 1380			1
185	32227	fus	0.00 1824	1		
185	32227	rap	0.00 1380	1		
185	32227	ins	0.78 1488			1
186	21279	fus	0.00 1692	1		
186	21279	rap	0.00 1396	1		
186	21279	ins	0.35 1460			1
187	15322	rap	0.00 1416		1	
187	15322	fus	0.00 1484	1		
187	15322	ins	0.17 1352			1
188	1253	fus	0.00 1300			1
188	1253	ins	0.00 1188			1
188	1253	rap	0.00 1304			1
189	22205	rap	0.00 1464		1	
189	22205	fus	0.00 1636		1	
189	22205	ins	0.36 1352			1
190	9418	rap	0.00 1252	1		
190	9418	fus	0.00 1384	1		
190	9418	ins	0.06 1324			1
191	605	ins	0.00 1236	1		
191	605	rap	0.00 1252	1		
191	605	fus	0.00 1244	1		
192	17601	fus	0.00 1556		1	
192	17601	rap	0.00 1436		1	
192	17601	ins	0.23 1436			1
193	30273	rap	0.00 1436		1	
193	30273	fus	0.00 1736	1		
193	30273	ins	0.67 1436			1
194	24423	fus	0.00 1620	1		
194	24423	rap	0.00 1368		1	
194	24423	ins	0.44 1480			1
195	28439	fus	0.00 1736	1		
195	28439	rap	0.00 1488	1		
195	28439	ins	0.67 1496			1
196	26230	rap	0.00 1404	1		
196	26230	fus	0.00 1720	1		
196	26230	ins	0.52 1404			1
197	25763	fus	0.00 1640	1		
197	25763	rap	0.00 1476	1		
197	25763	ins	0.48 1380			1
198	4858	fus	0.00 1340		1	
198	4858	rap	0.00 1264		1	
198	4858	ins	0.02 1320			1
199	24810	rap	0.00 1456		1	
199	24810	fus	0.00 1644	1		
199	24810	ins	0.46 1452			1
200	14694	rap	0.00 1308	1		
200	14694	fus	0.00 1516	1		
200	14694	ins	0.16 1340			1
201	2886	fus	0.00 1348	1		
201	2886	rap	0.00 1148	1		
201	2886	ins	0.00 1204			1
202	20227	fus	0.00 1588	1		
202	20227	rap	0.00 1448	1		
202	20227	ins	0.30 1284			1
203	31014	fus	0.00 1720	1		
203	31014	rap	0.00 1496		1	
203	31014	ins	0.72 1424			1
204	19270	rap	0.00 1416	1		
204	19270	fus	0.00 1572	1		
204	19270	ins	0.28 1328			1
205	4138	fus	0.00 1316	1		
205	4138	rap	0.00 1208		1	
205	4138	ins	0.01 1312			1
206	21272	rap	0.00 1364	1		
206	21272	fus	0.00 1572	1		
206	21272	ins	0.33 1348			1
207	21509	rap	0.00 1456	1		
207	21509	fus	0.00 1620	1		
207	21509	ins	0.34 1424			1
208	11292	rap	0.00 1356		1	
208	11292	fus	0.00 1460		1	
208	11292	ins	0.10 1364			1
209	2133	rap	0.00 1188	1		
209	2133	fus	0.00 1316	1		
209	2133	ins	0.00 1288			1
210	11468	fus	0.00 1496	1		
210	11468	rap	0.00 1272	1		
210	11468	ins	0.10 1320			1
211	13841	fus	0.00 1496	1		
211	13841	rap	0.00 1364		1	
211	13841	ins	0.14 1284			1
212	13766	rap	0.00 1344		1	
212	13766	fus	0.00 1492	1		
212	13766	ins	0.14 1336			1
213	6537	rap	0.00 1332	1		
213	6537	fus	0.00 1396	1		
213	6537	ins	0.03 1304			1
214	17961	rap	0.00 1424		1	
214	17961	fus	0.00 1536	1		
214	17961	ins	0.24 1392			1
215	23592	rap	0.00 1312		1	
215	23592	fus	0.00 1628		1	
215	23592	ins	0.40 1412			1
216	1675	rap	0.00 1248			1
216	1675	fus	0.00 1340		1	
216	1675	ins	0.00 1240			1
217	2079	fus	0.00 1288		1	
217	2079	ins	0.00 1192			1
217	2079	rap	0.00 1212		1	
218	11475	rap	0.00 1364		1	
218	11475	fus	0.00 1500		1	
218	11475	ins	0.10 1268			1
219	1381	rap	0.00 1280		1	
219	1381	fus	0.00 1340		1	
219	1381	ins	0.00 1192			1
220	2194	fus	0.00 1288		1	
220	2194	rap	0.00 1296		1	
220	2194	ins	0.00 1144			1
221	19321	fus	0.00 1536	1		
221	19321	rap	0.00 1448		1	
221	19321	ins	0.28 1280			1
222	10325	rap	0.00 1272	1		
222	10325	fus	0.00 1472	1		
222	10325	ins	0.08 1368			1
223	6008	rap	0.00 1300		1	
223	6008	fus	0.00 1332		1	
223	6008	ins	0.03 1340			1
224	6990	fus	0.00 1420	1		
224	6990	rap	0.00 1232	1		
224	6990	ins	0.03 1248			1
225	31095	rap	0.00 1472		1	
225	31095	fus	0.00 1776	1		
225	31095	ins	0.70 1444			1
226	15239	fus	0.00 1516	1		
226	15239	rap	0.00 1376	1		
226	15239	ins	0.17 1292			1
227	27521	rap	0.00 1444	1		
227	27521	fus	0.00 1688	1		
227	27521	ins	0.55 1464			1
228	7582	fus	0.00 1304		1	
228	7582	rap	0.00 1236		1	
228	7582	ins	0.04 1188			1
229	9581	fus	0.00 1460	1		
229	9581	rap	0.00 1352		1	
229	9581	ins	0.07 1352			1
230	19315	rap	0.00 1332	1		
230	19315	fus	0.00 1488	1		
230	19315	ins	0.28 1388			1
231	12283	rap	0.00 1344	1		
231	12283	fus	0.00 1424	1		
231	12283	ins	0.11 1348			1
232	13416	rap	0.00 1304	1		
232	13416	fus	0.00 1508	1		
232	13416	ins	0.13 1280			1
233	20574	rap	0.00 1420		1	
233	20574	fus	0.00 1564	1		
233	20574	ins	0.30 1444			1
234	31921	fus	0.00 1756		1	
234	31921	rap	0.00 1428		1	
234	31921	ins	0.74 1508			1
235	26394	fus	0.00 1696	1		
235	26394	rap	0.00 1488	1		
235	26394	ins	0.52 1384			1
236	5176	rap	0.00 1268	1		
236	5176	fus	0.00 1316	1		
236	5176	ins	0.02 1212			1
237	9003	fus	0.00 1452		1	
237	9003	rap	0.00 1356		1	
237	9003	ins	0.06 1264			1
238	40	fus	0.00 1316			
238	40	rap	0.00 1260			
238	40	ins	0.00 1176			
239	3907	fus	0.00 1244	1		
239	3907	rap	0.00 1156	1		
239	3907	ins	0.01 1320			1
240	8986	fus	0.00 1496		1	
240	8986	rap	0.00 1360		1	
240	8986	ins	0.06 1292			1
241	14137	rap	0.00 1288	1		
241	14137	fus	0.00 1452	1		
241	14137	ins	0.15 1388			1
242	22548	fus	0.00 1592	1		
242	22548	rap	0.00 1432		1	
242	22548	ins	0.38 1408			1
243	24841	fus	0.00 1748	1		
243	24841	rap	0.00 1468	1		
243	24841	ins	0.46 1484			1
244	19075	rap	0.00 1332		1	
244	19075	fus	0.00 1568		1	
244	19075	ins	0.27 1276			1
245	13880	fus	0.00 1528		1	
245	13880	rap	0.00 1336		1	
245	13880	ins	0.14 1288			1
246	28102	fus	0.00 1732	1		
246	28102	rap	0.00 1416		1	
246	28102	ins	0.58 1456			1
247	8024	fus	0.00 1360	1		
247	8024	rap	0.00 1236		1	
247	8024	ins	0.04 1312			1
248	856	rap	0.00 1188			1
248	856	ins	0.00 1268			1
248	856	fus	0.00 1332			1
249	25083	fus	0.00 1660		1	
249	25083	rap	0.00 1492		1	
249	25083	ins	0.46 1492			1
250	26393	fus	0.00 1704	1		
250	26393	rap	0.00 1464	1		
250	26393	ins	0.51 1472			1
251	15395	fus	0.00 1484	1		
251	15395	rap	0.00 1376		1	
251	15395	ins	0.17 1404			1
252	18076	rap	0.00 1432	1		
252	18076	fus	0.00 1596	1		
252	18076	ins	0.24 1440			1
253	29231	rap	0.00 1464		1	
253	29231	fus	0.00 1696	1		
253	29231	ins	0.63 1520			1
254	12749	fus	0.00 1456	1		
254	12749	rap	0.00 1272	1		
254	12749	ins	0.12 1364			1
255	21278	fus	0.00 1652		1	
255	21278	rap	0.00 1292		1	
255	21278	ins	0.33 1348			1
256	231	rap	0.00 1272	1		
256	231	fus	0.00 1188	1		
256	231	ins	0.00 1264	1		
257	6428	rap	0.00 1304	1		
257	6428	fus	0.00 1284	1		
257	6428	ins	0.03 1276			1
258	7213	fus	0.00 1420		1	
258	7213	rap	0.00 1324		1	
258	7213	ins	0.04 1240			1
259	2853	fus	0.00 1280		1	
259	2853	rap	0.00 1200		1	
259	2853	ins	0.00 1248			1
260	22326	rap	0.00 1412		1	
260	22326	fus	0.00 1628	1		
260	22326	ins	0.36 1368			1
261	21969	rap	0.00 1436		1	
261	21969	fus	0.00 1620	1		
261	21969	ins	0.35 1368			1
262	17089	fus	0.00 1456	1		
262	17089	rap	0.00 1432	1		
262	17089	ins	0.22 1396			1
263	24122	rap	0.00 1352		1	
263	24122	fus	0.00 1736	1		
263	24122	ins	0.44 1436			1
