test	taille	exe	exectime	memory	mmm
163	32000	rap	0.00 1424		1	
163	32000	fus	0.00 1740	1		
163	32000	ins	0.73 1452			1
164	41000	fus	0.00 1924		1	
164	41000	rap	0.00 1508		1	
164	41000	ins	1.21 1576			1
165	16000	fus	0.00 1508	1		
165	16000	rap	0.00 1380	1		
165	16000	ins	0.19 1308			1
166	5000	rap	0.00 1304	1		
166	5000	fus	0.00 1308	1		
166	5000	ins	0.02 1212			1
167	58000	fus	0.01 2188		1	
167	58000	rap	0.01 1708		1	
167	58000	ins	2.41 1656			1
168	21000	rap	0.00 1444	1		
168	21000	fus	0.00 1644	1		
168	21000	ins	0.31 1368			1
169	39000	rap	0.00 1540	1		
169	39000	fus	0.00 1892	1		
169	39000	ins	1.09 1488			1
170	30000	fus	0.00 1756	1		
170	30000	rap	0.00 1412	1		
170	30000	ins	0.64 1492			1
171	44000	fus	0.00 2004	1		
171	44000	rap	0.00 1468		1	
171	44000	ins	1.40 1520			1
172	36000	rap	0.00 1516	1		
172	36000	fus	0.00 1848	1		
172	36000	ins	0.93 1460			1
173	17000	fus	0.00 1580		1	
173	17000	rap	0.00 1360		1	
173	17000	ins	0.21 1388			1
174	30000	fus	0.00 1712		1	
174	30000	rap	0.00 1516		1	
174	30000	ins	0.65 1508			1
175	55000	fus	0.01 2100			
175	55000	rap	0.01 1628		1	
175	55000	ins	2.17 1616			1
176	46000	rap	0.01 1584	1		
176	46000	fus	0.00 2032	1		
176	46000	ins	1.52 1636			1
177	2000	rap	0.00 1276	1		
177	2000	fus	0.00 1316	1		
177	2000	ins	0.00 1136			1
178	32000	fus	0.00 1812	1		
178	32000	rap	0.00 1376		1	
178	32000	ins	0.74 1528			1
179	39000	fus	0.00 1896			
179	39000	rap	0.00 1488		1	
179	39000	ins	1.09 1600			1
180	10000	fus	0.00 1416		1	
180	10000	rap	0.00 1300		1	
180	10000	ins	0.07 1356			1
181	0	rap	0.00 1284	1		
181	0	fus	0.00 1268	1		
181	0	ins	0.00 1284	1		
